platform,id,title,budget,currency,skills,url
fl_ru,5499607,Оператор чата,40000.0,RUB,,https://www.fl.ru/projects/5499607/operator-chata-.html
fl_ru,5500011,Дизайн Киоска Самообслуживания,,RUB,,https://www.fl.ru/projects/5500011/dizayn-kioska-samoobslujivaniya.html
fl_ru,5497585,Приведите друга и получите бонус от FL.ru,2100.0,RUB,,https://www.fl.ru/projects/5497585/privedite-druga-i-poluchite-bonus-ot-flru.html
fl_ru,5496911,"Требуются заправщики и операторы АЗС (продавцы-кассиры) в Ленинградской области,",70000.0,RUB,,https://www.fl.ru/projects/5496911/trebuyutsya-zapravschiki-i-operatoryi-azs-prodavtsyi-kassiryi-v-leningradskoy-oblasti-vsevolojskom-rayone.html
fl_ru,5500212,Разработка стильного лендинга + базовой логики обработки заявок и автоматизации ,,RUB,,https://www.fl.ru/projects/5500212/razrabotka-stilnogo-lendinga--bazovoy-logiki-obrabotki-zayavok-i-avtomatizatsii-protsessov.html
fl_ru,5500211,"Помощник, автор учебных работ по ИТ и другим дисциплинам, ИИ-помощник",45000.0,RUB,,https://www.fl.ru/projects/5500211/pomoschnik-avtor-uchebnyih-rabot-po-it-i-drugim-distsiplinam-ii-pomoschnik.html
fl_ru,5500209,Ищу UX/UI дизайнера в связку к веб-разработчику,,RUB,,https://www.fl.ru/projects/5500209/ischu-ux-ui-dizaynera-v-svyazku-k-veb-razrabotchiku.html
fl_ru,5500163,Нужно зарегистрироваться на сайте,700.0,RUB,,https://www.fl.ru/projects/5500163/nujno-zaregistrirovatsya-na-sayte.html
fl_ru,5500210,Разработка Flutter приложения,,RUB,,https://www.fl.ru/projects/5500210/razrabotka-flutter-prilojeniya.html
fl_ru,5500204,Простой Контент-менеджер по заполнению карточек товаров (WB / Ozon)  Подработка,30000.0,RUB,,https://www.fl.ru/projects/5500204/prostoy-kontent-menedjer-po-zapolneniyu-kartochek-tovarov-wb---ozon---podrabotka.html
fl_ru,5497383,Тестировщик мобильного приложения (Android/iOS),,RUB,,https://www.fl.ru/projects/5497383/testirovschik-mobilnogo-prilojeniya-android-ios.html
fl_ru,5500206,Разовые задачи по SEO,,RUB,,https://www.fl.ru/projects/5500206/razovyie-zadachi-po-seo.html
fl_ru,5500205,Сегментация и Email рассылка по существующей базе,,RUB,,https://www.fl.ru/projects/5500205/segmentatsiya-i-email-rassyilka-po-suschestvuyuschey-baze.html
fl_ru,5500203,E-mail расслыка,30000.0,RUB,,https://www.fl.ru/projects/5500203/e-mail-rasslyika.html
fl_ru,5500201,3D анимация,5000.0,RUB,,https://www.fl.ru/projects/5500201/3d-animatsiya-.html
fl_ru,5500200,Требуется дизайнер / креатор для регулярных задач,500.0,RUB,,https://www.fl.ru/projects/5500200/trebuetsya-dizayner---kreator-dlya-regulyarnyih-zadach.html
fl_ru,5500184,Разработка программы,,RUB,,https://www.fl.ru/projects/5500184/razrabotka-programmyi.html
fl_ru,5500198,По структуре сделать 2 сайта на Tilda. Дизайн с адаптацией под Web и мобилу +соб,,RUB,,https://www.fl.ru/projects/5500198/po-strukture-sdelat-2-sayta-na-tilda-dizayn-s-adaptatsiey-pod-web-i-mobilu-sobrat-na-tilda.html
fl_ru,5500196,Разработка айдентики для соц сетей эксперта по Китаю,,RUB,,https://www.fl.ru/projects/5500196/razrabotka-aydentiki-dlya-sots-setey-eksperta-po-kitayu.html
fl_ru,5500191,"Редакция дизайна PDF-файла, пересборка файла",,RUB,,https://www.fl.ru/projects/5500191/redaktsiya-dizayna-pdf-fayla-peresborka-fayla.html
fl_ru,5500189,Проектирование модульных зданий,,RUB,,https://www.fl.ru/projects/5500189/proektirovanie-modulnyih-zdaniy.html
fl_ru,5500186,Редизайн главной страницы сайта,,RUB,,https://www.fl.ru/projects/5500186/redizayn-glavnoy-stranitsyi-sayta.html
fl_ru,5500185,Отбор на вакансию СММ менеджер,50000.0,RUB,,https://www.fl.ru/projects/5500185/otbor-na-vakansiyu-smm-menedjer.html
fl_ru,5500182,ML Engineer / Инженер по глубокому обучению (развертывание моделей на сервере),,RUB,,https://www.fl.ru/projects/5500182/ml-engineer---injener-po-glubokomu-obucheniyu-razvertyivanie-modeley-na-servere.html
fl_ru,5500178,SMM-менеджер в проект бад (личный бренд блогера),,RUB,,https://www.fl.ru/projects/5500178/smm-menedjer-v-proekt-bad-lichnyiy-brend-blogera.html
fl_ru,5500179,Разработать видеоролик с 3д моделью,,RUB,,https://www.fl.ru/projects/5500179/razrabotat-videorolik-s-3d-modelyu.html
fl_ru,5500180,Разработка программы с функцией кликера и решением капчи .,,RUB,,https://www.fl.ru/projects/5500180/razrabotka-programmyi-s-funktsiey-klikera-i-resheniem-kapchi-.html
fl_ru,5498017,Копирайтер для ПромоСтраниц,,RUB,,https://www.fl.ru/projects/5498017/kopirayter-dlya-promostranits.html
fl_ru,5500177,Верстка дизайна,,RUB,,https://www.fl.ru/projects/5500177/verstka-dizayna-.html
fl_ru,5500176,"Нужен  удаленно разнорабочий, для публикаций объявлений.",,RUB,,https://www.fl.ru/projects/5500176/nujen--udalenno-raznorabochiy-dlya-publikatsiy-obyyavleniy-.html
fl_ru,5500172,Продажа товаров ( онлайн ),65000.0,RUB,,https://www.fl.ru/projects/5500172/prodaja-tovarov--onlayn--.html
fl_ru,5500175,Нарисовать карандашом 3 варианта сайта,,RUB,,https://www.fl.ru/projects/5500175/narisovat-karandashom-3-varianta-sayta.html
fl_ru,5500173,Разработка приложения,300000.0,RUB,,https://www.fl.ru/projects/5500173/razrabotka-prilojeniya-.html
fl_ru,5500171,Отрисовать иконку приложения в векторе,,RUB,,https://www.fl.ru/projects/5500171/otrisovat-ikonku-prilojeniya-v-vektore.html
fl_ru,5500170,"Модернизация сайта спортивной аналитики (WordPress, лента прогнозов, личный каби",40000.0,RUB,,https://www.fl.ru/projects/5500170/modernizatsiya-sayta-sportivnoy-analitiki-wordpress-lenta-prognozov-lichnyiy-kabinet.html
fl_ru,5497832,Технологичный SMM-специалист,,RUB,,https://www.fl.ru/projects/5497832/tehnologichnyiy-smm-spetsialist.html
fl_ru,5500169,Перенос контента на новый сайт на cms 1с-битрикс,5000.0,RUB,,https://www.fl.ru/projects/5500169/perenos-kontenta-na-novyiy-sayt-na-cms-1s-bitriks.html
fl_ru,5500166,Нужен партнёр по поиску заказов на разработку приложений,,RUB,,https://www.fl.ru/projects/5500166/nujen-partnr-po-poisku-zakazov-na-razrabotku-prilojeniy-.html
fl_ru,5499948,дизайнер интерьеров,500.0,RUB,,https://www.fl.ru/projects/5499948/dizayner-intererov.html
fl_ru,5500164,реклама яндекс google mytarger и другие площадки,,RUB,,https://www.fl.ru/projects/5500164/reklama-yandeks-google-mytarger-i-drugie-ploschadki.html
freelancer_com,40371647,Modern Travel Portal Website Development,7000.0,INR,"PHP, Website Design, Graphic Design, SEO, CSS",https://www.freelancer.com/projects/web-development/Modern-Travel-Portal-Website-Development
freelancer_com,40371627,Electronic Medical Assessment Form Automation,500.0,GBP,"JavaScript, HTML, Web Development, Backend Development, Frontend Development",https://www.freelancer.com/projects/web-development/Electronic-Medical-Assessment-Form
freelancer_com,40365566,Android Social Media App Build,1000.0,INR,"Java, Mobile App Development, Android, Cloud Computing, Software Architecture",https://www.freelancer.com/projects/android/Android-Social-Media-App-Build-40365566
freelancer_com,40371604,US Female Junior Software Developer,500.0,USD,"Java, Mobile App Development, iPhone, Android, RESTful",https://www.freelancer.com/projects/ios-development/Female-Junior-Software-Developer
freelancer_com,40371593,Android Social Networking App Development,25000.0,INR,"Java, Mobile App Development, iPhone, Android, Kotlin",https://www.freelancer.com/projects/android-app-development/Android-Social-Networking-App-40371593
freelancer_com,40371592,Branded E-commerce Website Development,25000.0,INR,"Website Design, Shopping Cart Integration, WordPress, eCommerce, HTML",https://www.freelancer.com/projects/web-development/Branded-commerce-Website-Development
freelancer_com,40371561,Build n8n Workflow Automations,25000.0,INR,"PHP, Project Management, Software Architecture, CRM, Email Marketing",https://www.freelancer.com/projects/n8n/Build-Workflow-Automations
freelancer_com,40371526,Android App With In-App Purchases - 14/04/2026 10:55 EDT,5.0,USD,"Java, Mobile App Development, iPhone, Android, Kotlin",https://www.freelancer.com/projects/android/Android-App-With-App-Purchases-40371526
freelancer_com,40371535,Android eShop App Development,500.0,USD,"PHP, Java, Mobile App Development, Android, Kotlin",https://www.freelancer.com/projects/android-app-development/Android-eShop-App-Development
freelancer_com,40371515,ERP System Development: PHP Expert Needed,56250.0,INR,"PHP, JavaScript, Software Architecture, ERP, Inventory Management",https://www.freelancer.com/projects/erp/ERP-System-Development-PHP-Expert
freelancer_com,40371486,Website Design Concept Needed,20.0,USD,"Website Design, Graphic Design, User Interface / IA, HTML, Figma",https://www.freelancer.com/projects/web-design/Website-Design-Concept-Needed
